Blog	four	looking	second	here	k	music	until	example	want	travel	feature	wrong	fix	easier	series	wasn	service	needed	project	release	best	country	asked	chrome	much	life	worked	things	had	easy	possible	right	old	continue	dollars	support	call	happy	inside	leave	team	along	love	working	awesome	such	years	course	didn	internet	million	quite	city	future	san	say	saw	note	take	ways	slow	going	sites	jobs	screen	many	photos	single	technology	being	around	world	power	favorite	image	her	complete	age	am	having	original	tv	th	large	small	past	hours	social	action	via	company	science	states	huge	its	always	found	really	self	also	play	sometimes	set	see	last	whole	read	recent	person	behind	couple	d	anything	into	link	line	posted	us	ago	results	try	video	let	great	makes	tools	next	process	high	move	doing	could	david	system	haven	fact	bring	should	hope	means	following	stuff	edition	email	co	android	off	less	web	five	become	places	problem	chance	worth	above	told	word	work	interview	after	order	office	then	them	network	another	john	do	away	terms	com	air	hand	photo	thanks	board	night	comments	post	months	way	war	update	together	cost	change	live	car	heart	write	product	goal	remember	still	now	year	space	shows	care	couldn	yourself	friend	than	browser	online	price	only	between	article	comes	these	media	thinking	real	early	amp	business	start	lot	trying	building	since	month	very	family	ask	finally	almost	site	history	help	soon	actually	beyond	event	put	american	mobile	latest	pretty	during	x	close	won	probably	both	else	look	while	guide	ready	used	user	game	step	computer	doesn	happens	youtube	go	does	facebook	started	control	links	software	including	him	hands	times	data	exactly	need	able	sent	based	she	state	key	party	well	page	twitter	home	he	piece	star	friends	using	companies	likely	even	ever	never	room	give	answer	before	personal	better	weeks	went	side	open	content	isn	features	matter	mind	seen	seem	don	m	stop	bad	decided	said	against	appeared	three	make	left	yet	down	weekend	daily	show	did	run	visit	making	sunday	may	designed	maybe	talk	nbsp	group	interesting	thing	think	long	little	anyone	were	especially	black	get	nearly	morning	enough	reading	across	according	among	mark	those	different	pay	same	running	money	either	images	broken	e	videos	again	important	u	starting	public	search	two	share	needs	coming	through	someone	button	everyone	house	hard	idea	done	least	part	built	click	build	tool	most	services	find	please	point	simple	simply	create	secret	understand	fun	itself	spend	cup	big	bit	google	often	back	per	forward	entire	others	named	ll	day	text	national	taking	value	ios	thought	add	works	students	actual	buy	minutes	under	every	school	changes	would	phone	must	me	join	keep	end	over	writing	each	saturday	driving	got	free	days	where	already	top	too	took	talking	though	watch	amazon	report	full	however	news	experience	several	gave	everything	head	check	no	longer	water	today	information	platform	name	turn	place	given	white	released	any	sure	later	written	outside	come	case	myself	good	html	events	week	without	model	seems	blog	oh	there	follow	program	far	list	design	version	known	v	rather	short	might	number	man	friday	feel	story	store	kind	added	nothing	windows	his	hit	wrote	art	recently	attention	reasons	question	fast	called	nice	users	helping	once	issues	apple	app	use	few	women	getting	something	united	six	instead	looks	our	york	their	which	who	why	local	view	available	job	april	gets	half	other	know	press	because	says	own	apps	made	whether	book	june
Copyblogger	1	2	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	10	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	3	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	1	0	8	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	0	4	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	1	0	0	1	0	0	1	4	0	0	0	0	3	0	0	0	2	1	0	0	3	0	0	0	5	0	0	1	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	15	0	0	0	1	0	0	10	0	0	0	0	1	0	10	0	2	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	2	0	0	0	10	0	0	0	0	1	1	0	1	0	2	1	1	0	0	0	2	0	0	0	0	0	0	1	1	2	0	0	2	0	0	0	0	0	1	0	0	10	0	1	2	0	1	0	0	1	0	0	2	0	0	1	0	0	0	0	2	0	1	0	0	0	1	0	0	7	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	2	3	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	15	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0
John Battelle's Search Blog	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	4	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	3	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	3	1	20	3	0	0	0	0	0	0	1	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	4	0	0	3	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	14	0	4	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3	3	0	0	0	0	3	0	0	0	1	2	1	1	4	0	0	0	1	0	0	1	1	0	3	1	1	0	0	0	0	0	0	1	0	0	0	0	0	20	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	21	2	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	22	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	2	0	1	3	0	0	1	0	3	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	4	2	0	0	0	0	4	0	0	0	21	0	0	0	0	1	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	1	2	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	1	0
Engadget RSS Feed	2	0	1	2	1	0	1	0	0	2	0	0	0	0	1	0	0	0	4	0	2	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	1	0	0	0	5	1	0	0	0	0	1	0	0	4	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	4	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	1	8	1	0	0	1	1	1	0	0	1	3	0	2	1	0	2	0	2	0	2	0	0	0	4	0	1	1	2	1	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	2	2	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	1	1	0	0	0	0	0	2	6	5	2	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	3	1	1	4	0	0	0	1	0	4	4	0	0	1	0	2	0	2	0	0	0	1	0	0	0	0	0	1	1	0	2	0	3	1	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	1	1	0	0	2	1	0	0	0	0	2	1	0	2	0	0	1	0	3	0	0	0	1	1	0	0	0	0	0	1	0	0	2	4	0	0	2	1	0	3	1	1	0	1	0	1	0	1	1	0	0	1	2	1	2	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	3	0	0	1	0	1	0	0	0	2	1	0	2	0	3	0	2	0	0	0	0	1	0	0	1	0	0	2	4	1	3	0	2	0	0	1	0	0	3	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	2	0	3	5	0	1	0	1	0	1	1	2	0	2	1	0	0	0	1	1	5	0	0	1	1	0	0	0	2	2	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	0	2	0	1	1	0	0	0	0	0	0	0	0	6	1	0	0	0	0	4	0	1	0	0	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	3	0	0	0	0	2	0	2	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0
A Consuming Experience (full feed)	0	0	2	6	0	0	0	0	7	0	0	0	10	1	0	1	3	0	0	1	5	0	0	8	2	1	1	4	3	0	0	5	4	0	0	1	1	0	0	0	0	1	0	1	0	1	4	1	4	4	0	2	0	1	0	1	0	1	3	0	3	3	4	0	2	3	0	0	0	2	1	0	0	0	0	3	0	0	0	2	0	3	0	0	1	0	0	0	3	1	0	0	0	0	2	4	0	0	0	9	0	3	5	9	1	0	14	2	0	1	1	5	4	1	3	7	0	3	3	1	2	0	2	0	0	1	3	1	0	5	2	5	0	2	0	0	0	6	2	0	3	3	0	2	0	0	2	2	0	0	0	0	5	0	1	7	0	13	6	0	11	2	10	16	9	0	2	0	6	3	1	0	0	2	0	1	0	0	0	2	0	5	0	14	1	1	9	0	0	0	0	0	0	1	8	11	2	6	1	0	0	1	2	5	2	1	1	21	3	1	2	0	1	2	3	0	1	1	5	2	1	0	0	1	3	0	0	1	0	3	0	1	1	4	3	4	2	0	0	0	2	0	4	1	2	0	2	1	2	1	0	0	9	3	0	3	5	3	0	0	4	2	0	1	2	1	0	1	0	0	2	1	1	10	1	0	1	0	1	12	1	4	3	0	1	0	0	0	0	12	0	0	6	2	0	0	2	0	6	0	1	0	0	2	16	2	1	0	0	1	0	2	7	4	4	0	0	0	3	0	0	7	6	0	14	0	0	4	5	1	1	1	0	7	0	1	0	8	0	0	1	1	1	1	1	1	3	0	12	0	0	2	1	0	0	0	0	2	1	0	1	6	1	1	0	0	4	0	7	9	0	1	0	3	5	0	0	0	0	1	2	0	0	7	0	1	4	0	0	16	0	7	5	0	10	1	0	3	1	1	1	0	0	0	0	0	1	3	7	3	11	0	0	0	3	0	6	1	22	0	2	1	0	1	13	6	0	0	5	0	4	0	0	1	2	0	3	11	0	4	3	8	0	0	0	0	1	1	2	0	2	3	6	1	0	2	2	0	2	1	1	0	1	0	2	0	0	5	10	0	0	0	1	0	2	1	0	3	1	1	1	5	2	0	0	0	2	3	3	0	4	0	6	0	6	0	0	14	1	4	0	4	0	3	2	1	4	2	2	0	1	0	0	0	1	0	1	0	30	1	0	0	0	2	0	1	1	0	0	0	8	0	0	2	0	0	19	3	0	2	1	0	0	2	0	0	0	4	22	4	3	0	7	1	0	0	0	3	5	3	8	3	2	4	0	0	2	0	0
Latest from Crooks and Liars	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	6	2	4	3	0	2	0	0	0	6	0	1	4	2	1	0	0	1	2	0	2	0	0	0	1	0	0	3	0	2	0	0	0	3	1	0	1	1	0	3	0	0	4	0	1	0	1	0	0	0	1	1	2	0	0	0	4	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	4	1	4	2	0	0	0	0	0	0	1	4	1	2	9	1	1	1	0	0	2	2	0	0	0	2	1	0	0	0	1	1	0	0	1	0	0	0	0	2	3	1	0	1	1	1	0	1	0	0	0	0	0	0	2	0	0	4	0	1	4	1	2	1	2	0	0	0	2	2	0	2	1	0	1	3	7	1	0	0	0	0	0	0	0	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	1	4	0	0	0	3	0	0	4	2	1	0	0	2	0	0	2	0	0	0	1	2	0	0	0	0	7	0	0	0	1	0	0	0	0	1	0	0	5	9	0	0	0	2	0	0	1	0	0	0	2	3	0	0	1	0	0	0	0	5	0	0	1	1	1	0	0	0	0	0	2	0	0	0	0	1	0	2	0	10	5	3	2	5	0	0	1	15	0	1	0	0	0	0	4	0	2	0	2	1	0	0	2	0	0	0	4	0	0	0	1	0	1	0	1	3	0	1	0	6	2	0	0	2	1	0	2	0	0	0	3	1	0	0	8	0	0	0	1	0	4	0	0	6	3	0	0	2	0	1	4	0	1	0	0	0	0	0	0	4	1	1	1	1	3	1	0	0	0	0	0	2	10	0	1	0	1	0	1	0	0	1	0	0	2	1	2	1	1	2	0	0	0	1	0	0	0	0	4	0	0	1	0	1	0	0	1	0	2	0	0	0	2	0	0	1	0	0	3	1	0	3	1	0	0	1	0	0	0	0	0	0	0	2	0	0	9	0	0	3	0	0	1	5	0	0	1	0	2	2	0	3	0	0	1	1	2	1	0	0	1	0	2	8	0	0	2	1	0	0	3	1	0	0	0	0	1	0	0	2	1	0	4	2	1	0	0	1	0	0	2	0	1	4	1	0	2	0	0	11	0	0	0	0	0	0	1	3	0	0	0	1	1	0	0	1	0	3	0	0	0	4	0	2	0	0	1	1	2	0	1	0	0	0	1	0	0	0	0	0	1	3	0	4	0	1	0	10	0	2	3	7	0	0	0	0	0	0	0	0	2	5	2	4	3	0	0	3	1	1	0
Publishing 2.0	0	1	1	7	0	0	0	2	2	0	6	1	2	0	0	0	1	0	2	0	3	0	1	0	3	0	0	1	5	1	0	6	1	2	4	1	0	0	0	0	1	1	0	0	2	0	2	1	0	4	1	1	1	21	0	1	1	0	1	0	1	3	5	2	1	6	0	0	4	2	4	2	1	0	0	0	0	2	6	0	2	2	0	0	0	0	0	1	2	0	3	0	0	0	4	0	1	0	0	1	1	1	2	2	4	0	1	3	0	1	0	1	0	1	12	0	2	6	1	1	0	0	1	6	0	1	2	0	2	0	3	8	0	0	2	1	0	4	2	1	0	1	2	1	0	0	1	1	22	1	4	0	1	0	0	0	0	0	2	0	0	0	0	2	1	2	0	0	2	1	2	10	0	0	1	0	1	0	0	9	1	4	0	1	1	0	1	0	0	2	0	1	0	0	3	8	1	2	1	2	2	0	0	3	2	9	0	1	0	5	2	5	13	2	0	0	0	7	2	3	2	0	2	0	2	0	2	1	1	9	1	2	0	0	2	0	3	0	0	0	0	0	0	0	1	0	2	0	0	3	0	0	2	2	2	1	0	1	1	3	1	0	5	1	2	7	0	0	0	0	4	1	2	2	0	0	1	0	2	0	0	1	12	6	0	5	0	0	0	2	8	0	0	0	0	0	0	1	0	0	0	1	0	0	3	14	2	2	1	3	0	1	6	5	1	0	0	1	0	2	3	5	2	1	2	0	2	1	0	0	1	3	1	3	0	0	1	0	0	2	1	2	2	0	3	0	0	0	6	0	0	3	8	1	1	0	0	2	0	1	0	0	3	0	0	0	2	0	0	7	1	0	0	1	3	1	3	0	5	1	0	2	1	1	1	0	1	0	0	0	0	0	13	1	1	0	0	2	0	1	0	1	0	0	0	0	4	1	9	2	1	0	1	1	1	0	2	0	3	1	0	7	0	0	0	1	0	0	0	0	0	2	0	1	2	0	0	1	1	1	2	4	1	1	0	0	3	2	3	4	1	1	2	0	0	1	0	0	2	5	0	56	0	1	0	3	3	0	6	1	0	5	3	2	1	0	0	0	0	0	3	1	0	0	1	1	2	0	1	0	0	5	1	3	1	6	0	10	0	2	0	0	0	0	0	0	2	0	1	2	0	0	0	4	0	5	1	1	0	4	0	1	0	1	1	2	4	5	3	0	1	3	0	0	0	0	2	4	0	0	0	0	0	1	1	8	5	7	11	2	9	3	0	0	0	0	2	0	7	2	3	5	0	2	0	1	1	2	0
mezzoblue	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	1	0	0	2	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	3	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Eschaton	2	0	0	4	2	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	4	0	0	5	3	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	1	0	0	3	0	1	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	8	0	0	0	4	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	4	2	0	3	0	7	0	0	1	0	0	0	0	0	3	0	1	1	2	0	2	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	1	4	0	0	0	0	0	1	0	2	1	0	0	0	0	1	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	4	0	0	0	0	2	0	0	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	2	0	0	0	1	2	0	1	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	1	3	0	0	0	0	0	2	2	1	1	1	0	0	0	0	4	0	1	1	1	1	0	1	0	0	1	1	2	0	1	0	0	0	0	2	4	0	0	0	3	1	0	3	0	1	2	0	0	0	0	0	5	1	0	1	0	1	1	0	0	0	0	1	0	0	0	3	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	1	3	0	0	1	1	2	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	1	0	0	5	2	0	0	0	1	1	0	3	1	0	1	1	0	0	2	0	0	3	0	2	0	2	0	0	1	3	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	2	0	0	4	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	4	0	0	2	0	0	1	0	0	4	0	0	0	1	0	0	0	0	1	0	2	0	0	3	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	6	4	4	0	0	0	0	1	0	0	0	2	4	0	3	0	0	0	0	0	0	1
PerezHilton	0	1	0	12	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	3	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	1	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	4	2	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	4	0	1	2	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	4	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	1	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	5	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Slashdot	2	0	0	3	0	0	0	0	2	0	0	0	0	0	0	1	1	0	4	2	0	0	1	0	2	2	0	3	6	1	2	3	1	1	0	1	0	0	0	1	1	1	0	1	0	1	4	0	0	3	3	0	0	0	0	0	0	2	3	0	0	1	3	2	1	4	0	0	4	3	2	1	2	0	0	3	0	2	2	1	4	0	0	1	1	2	1	2	1	0	3	0	2	1	17	0	2	1	2	5	0	0	1	0	3	1	25	2	0	1	1	1	1	4	2	0	1	2	0	0	0	4	0	0	0	1	0	0	1	1	1	7	0	2	0	1	0	2	0	1	0	0	0	0	2	4	4	2	1	0	0	1	0	0	1	2	0	0	0	0	7	1	4	2	2	3	1	2	8	0	1	2	0	3	0	0	2	1	0	3	0	1	0	2	1	1	3	2	8	0	0	1	2	0	2	8	5	6	2	0	2	0	0	5	0	4	0	4	2	4	3	1	1	1	4	2	0	1	4	1	0	1	1	4	1	0	2	1	0	6	0	2	1	2	0	0	3	2	0	0	0	1	6	3	1	1	1	0	1	3	4	0	4	2	0	0	4	4	0	0	2	1	1	0	0	0	3	3	1	0	1	7	1	3	5	1	4	2	1	0	0	4	3	1	0	2	0	1	0	0	2	2	4	1	0	0	1	0	1	0	2	0	0	0	2	4	1	1	1	0	1	0	2	2	1	1	0	2	3	0	1	2	1	2	4	0	1	1	0	1	0	1	0	5	0	1	0	0	1	0	1	3	2	4	1	5	1	2	1	0	0	0	0	2	3	2	1	2	0	0	1	2	2	0	3	0	1	0	0	0	3	0	3	1	2	2	0	0	1	1	0	0	1	0	2	0	2	1	3	0	1	0	2	1	0	3	1	0	2	5	1	0	0	3	0	0	1	2	24	0	3	3	0	0	0	0	0	2	2	5	1	0	0	1	0	1	2	2	1	0	3	1	0	1	6	0	0	4	0	3	3	6	0	1	1	2	0	2	0	3	2	1	1	0	0	1	1	1	1	0	1	3	0	0	0	1	0	0	2	2	0	1	4	1	0	0	1	1	0	2	1	2	2	1	1	2	3	0	4	0	0	1	3	0	2	0	1	7	2	2	3	0	3	1	0	2	1	2	1	3	1	0	0	27	1	0	0	1	2	3	1	1	1	2	1	0	0	1	1	0	5	0	1	0	3	1	6	0	0	0	3	2	0	2	2	6	0	8	11	5	2	1	1	1	0	3	1	0	7	1	1	3	2	2	0	6	1	0	3
